id,salary_in_usd
0,125364.6757822321
1,96455.55348229257
2,107853.46390976539
3,107853.46390976539
4,65898.66175203485
5,22425.50672684868
6,79914.02213221212
7,112293.09163365774
8,48049.50590582169
9,51191.806127422664
10,168390.62168931623
11,47422.42432895782
12,171648.65180356015
13,60860.75528758293
14,38232.368788292944
15,96771.04851808633
16,52825.29007571497
17,98915.54061410134
18,139447.2526651744
19,44661.68525393976
20,51548.0259914727
21,47288.08698770321
22,58634.82558395685
23,62025.8279586651
24,153668.7383499795
25,7963.455280779274
26,42750.89479212472
27,116071.00397842228
28,173048.02202404267
29,64774.358749813786
30,137541.28474056974
31,120895.82153441102
32,137681.8321037604
33,100973.78744690138
34,50576.825739686334
35,48738.47915780647
36,84292.24311702955
37,153668.7383499795
38,25956.627157716277
39,58728.86023037864
40,170815.58693168886
41,41190.52564082125
42,23587.869303133764
43,111323.97291371557
44,173048.02202404267
45,116677.9848081156
46,206792.0291555576
47,125810.85864269373
48,58728.86023037864
49,137681.8321037604
50,36955.03927619625
51,139914.2671961142
52,47145.39336357882
53,133619.71693553776
54,133581.60435179586
55,97063.98654771535
56,70559.99838835002
57,152206.76748744916
58,137374.38974564962
59,113794.01406193395
60,148948.73737320525
61,113794.01406193395
62,193708.8827249798
63,148948.73737320525
64,148341.75654351196
65,194186.90364759415
66,194186.90364759415
67,148948.73737320525
68,111454.93967652209
69,70559.99838835002
70,133619.71693553776
71,166095.5859549146
72,63902.53834695872
73,67203.03364417396
74,91616.86609931703
75,130361.6868212938
76,67203.03364417396
77,73779.9159188521
78,129308.52313113883
79,143998.08084377443
80,46687.19167520655
81,66813.66290244934
82,113063.83676932403
83,169353.6160691585
84,100283.90407821741
85,73818.02850259395
86,73818.02850259395
87,152206.76748744916
88,148948.73737320525
89,63497.82886035725
90,48808.30575461871
91,71292.85387070575
92,89247.55223538926
93,70722.17707995539
94,148948.73737320525
95,145490.69039660433
96,55262.82453935037
97,72349.81248142058
98,59790.36900560588
99,148341.75654351196
100,148948.73737320525
101,113794.01406193395
102,113794.01406193395
103,194186.90364759415
104,152206.76748744916
105,57000.43995965746
106,111454.93967652209
